,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
490508,C578062,23197,SKETCHBOOK MAGNETIC SHOPPING LIST,-3,11/22/2011 15:30,1.45,12471.0,Germany
491732,C578073,M,Manual,-36,11/22/2011 16:02,0.32,18139.0,United Kingdom
491733,C578073,M,Manual,-36,11/22/2011 16:02,0.56,18139.0,United Kingdom
491886,C578076,M,Manual,-24,11/22/2011 16:18,0.56,18139.0,United Kingdom
491887,C578077,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,-20,11/22/2011 16:18,2.55,12936.0,United Kingdom
492135,C578090,POST,POSTAGE,-2,11/22/2011 17:03,40.0,12483.0,Sweden
492198,578095,23397,damaged,-9,11/22/2011 17:25,0.0,,United Kingdom
492201,C578097,84029E,RED WOOLLY HOTTIE WHITE HEART.,-48,11/22/2011 17:31,3.75,,United Kingdom
492202,C578097,82494L,WOODEN FRAME ANTIQUE WHITE ,-48,11/22/2011 17:31,2.55,,United Kingdom
492203,C578097,23358,HOT STUFF HOT WATER BOTTLE,-36,11/22/2011 17:31,3.29,,United Kingdom
492204,C578097,23355,HOT WATER BOTTLE KEEP CALM,-48,11/22/2011 17:31,4.15,,United Kingdom
492205,C578097,22835,HOT WATER BOTTLE I AM SO POORLY,-48,11/22/2011 17:31,4.25,,United Kingdom
492206,C578097,22114,HOT WATER BOTTLE TEA AND SYMPATHY,-48,11/22/2011 17:31,3.75,,United Kingdom
492207,C578097,22112,CHOCOLATE HOT WATER BOTTLE,-48,11/22/2011 17:31,4.25,,United Kingdom
492367,C578110,23169,CLASSIC GLASS COOKIE JAR,-2,11/23/2011 9:23,4.15,15804.0,United Kingdom
492368,C578110,15039,SANDALWOOD FAN,-2,11/23/2011 9:23,0.85,15804.0,United Kingdom
492369,C578110,84945,MULTI COLOUR SILVER T-LIGHT HOLDER,-2,11/23/2011 9:23,0.85,15804.0,United Kingdom
492496,C578122,POST,POSTAGE,-2,11/23/2011 10:27,1.0,12452.0,Switzerland
492498,C578124,22659,LUNCH BOX I LOVE LONDON,-1,11/23/2011 10:30,1.95,14049.0,United Kingdom
492499,C578124,20749,ASSORTED COLOUR MINI CASES,-1,11/23/2011 10:30,7.95,14049.0,United Kingdom
492500,C578124,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,-1,11/23/2011 10:30,2.55,14049.0,United Kingdom
492501,C578124,21561,DINOSAUR LUNCH BOX WITH CUTLERY,-1,11/23/2011 10:30,2.55,14049.0,United Kingdom
492502,C578124,22492,MINI PAINT SET VINTAGE ,-2,11/23/2011 10:30,0.65,14049.0,United Kingdom
492503,C578124,22352,LUNCH BOX WITH CUTLERY RETROSPOT ,-1,11/23/2011 10:30,2.55,14049.0,United Kingdom
492504,C578124,21890,S/6 WOODEN SKITTLES IN COTTON BAG,-1,11/23/2011 10:30,3.25,14049.0,United Kingdom
492505,C578124,21915,RED  HARMONICA IN BOX ,-1,11/23/2011 10:30,1.25,14049.0,United Kingdom
492506,C578124,21459,YELLOW EASTER EGG HUNT START POST,-1,11/23/2011 10:30,1.95,14049.0,United Kingdom
492507,C578124,21461,BLUE EASTER EGG HUNT START POST,-1,11/23/2011 10:30,1.95,14049.0,United Kingdom
492508,C578124,22662,LUNCH BAG DOLLY GIRL DESIGN,-1,11/23/2011 10:30,1.65,14049.0,United Kingdom
492509,C578124,20728,LUNCH BAG CARS BLUE,-1,11/23/2011 10:30,1.65,14049.0,United Kingdom
492584,C578131,23485,BOTANICAL GARDENS WALL CLOCK ,-1,11/23/2011 10:49,20.8,13171.0,United Kingdom
492585,C578132,75049L,LARGE CIRCULAR MIRROR MOBILE,-1,11/23/2011 10:50,0.85,15502.0,United Kingdom
492596,C578136,71477,COLOURED GLASS STAR T-LIGHT HOLDER,-2,11/23/2011 10:57,3.95,14156.0,EIRE
492597,C578136,23328,SET 6 SCHOOL MILK BOTTLES IN CRATE,-1,11/23/2011 10:57,3.75,14156.0,EIRE
492598,C578136,23325,RUSTIC STRAWBERRY JAM POT SMALL,-5,11/23/2011 10:57,1.65,14156.0,EIRE
492599,C578136,23173,REGENCY TEAPOT ROSES ,-1,11/23/2011 10:57,9.95,14156.0,EIRE
492643,C578142,23569,TRADTIONAL ALPHABET STAMP SET,-2,11/23/2011 11:04,4.95,17010.0,United Kingdom
492655,C578144,22697,GREEN REGENCY TEACUP AND SAUCER,-3,11/23/2011 11:06,2.95,16201.0,United Kingdom
492656,C578144,22699,ROSES REGENCY TEACUP AND SAUCER ,-1,11/23/2011 11:06,2.95,16201.0,United Kingdom
492657,C578144,23170,REGENCY TEA PLATE ROSES ,-3,11/23/2011 11:06,1.65,16201.0,United Kingdom
492658,C578144,84817,DANISH ROSE DECORATIVE PLATE,-12,11/23/2011 11:06,2.1,16201.0,United Kingdom
492659,578145,22579,dotcom,-40,11/23/2011 11:07,0.0,,United Kingdom
493038,C578148,20728,LUNCH BAG CARS BLUE,-1,11/23/2011 11:11,1.65,15117.0,United Kingdom
493163,C578164,22109,FULL ENGLISH BREAKFAST PLATE,-1,11/23/2011 11:34,3.75,14032.0,United Kingdom
493613,C578239,D,Discount,-1,11/23/2011 12:29,26.33,14912.0,Italy
493686,578245,22568,?? missing,-170,11/23/2011 12:37,0.0,,United Kingdom
493996,C578257,23300,GARDENERS KNEELING PAD CUP OF TEA ,-40,11/23/2011 13:00,1.65,17809.0,United Kingdom
494057,C578259,72807C,SET/3 VANILLA SCENTED CANDLE IN BOX,-120,11/23/2011 13:02,3.81,16660.0,United Kingdom
494745,C578269,CRUK,CRUK Commission,-1,11/23/2011 13:39,849.93,14096.0,United Kingdom
494784,C578274,22768,FAMILY PHOTO FRAME CORNICE,-2,11/23/2011 13:42,9.95,17828.0,Malta
494785,C578274,85034C,3 ROSE MORRIS BOXED CANDLES,-1,11/23/2011 13:42,1.25,17828.0,Malta
494786,C578274,72807C,SET/3 VANILLA SCENTED CANDLE IN BOX,-1,11/23/2011 13:42,4.25,17828.0,Malta
494787,C578274,22307,GOLD MUG BONE CHINA TREE OF LIFE,-1,11/23/2011 13:42,1.06,17828.0,Malta
494788,C578274,72741,GRAND CHOCOLATECANDLE,-3,11/23/2011 13:42,1.45,17828.0,Malta
494823,C578276,23108,SET OF 10 LED DOLLY LIGHTS,-1,11/23/2011 13:48,5.39,17511.0,United Kingdom
494824,C578276,23470,CARD HOLDER LOVE BIRD LARGE ,-1,11/23/2011 13:48,5.39,17511.0,United Kingdom
494825,C578276,22665,RECIPE BOX BLUE SKETCHBOOK DESIGN,-1,11/23/2011 13:48,2.55,17511.0,United Kingdom
494826,C578276,23493,VINTAGE DOILY TRAVEL SEWING KIT,-1,11/23/2011 13:48,1.65,17511.0,United Kingdom
494827,C578276,21535,RED RETROSPOT SMALL MILK JUG,-2,11/23/2011 13:48,2.1,17511.0,United Kingdom
494828,C578276,21240,BLUE POLKADOT CUP,-2,11/23/2011 13:48,0.72,17511.0,United Kingdom
494829,C578276,21430,SET/3 RED GINGHAM ROSE STORAGE BOX,-1,11/23/2011 13:48,3.39,17511.0,United Kingdom
494830,C578276,22197,POPCORN HOLDER,-1,11/23/2011 13:48,0.85,17511.0,United Kingdom
494924,C578280,21927,BLUE/CREAM STRIPE CUSHION COVER ,-4,11/23/2011 13:53,1.25,17841.0,United Kingdom
494925,C578280,22339,CHRISTMAS TREE PAINTED ZINC ,-7,11/23/2011 13:53,0.19,17841.0,United Kingdom
494926,C578280,22338,STAR DECORATION PAINTED ZINC ,-3,11/23/2011 13:53,0.19,17841.0,United Kingdom
494927,C578280,84375,SET OF 20 KIDS COOKIE CUTTERS,-1,11/23/2011 13:53,2.1,17841.0,United Kingdom
494928,C578280,20752,BLUE POLKADOT WASHING UP GLOVES,-1,11/23/2011 13:53,2.1,17841.0,United Kingdom
494936,C578282,22429,ENAMEL MEASURING JUG CREAM,-1,11/23/2011 13:54,4.25,17841.0,United Kingdom
495850,578327,72807A,wet pallet,-504,11/23/2011 17:55,0.0,,United Kingdom
495851,578328,72807B,wet pallet,-696,11/23/2011 17:55,0.0,,United Kingdom
495852,578329,72807C,wet pallet,-408,11/23/2011 17:56,0.0,,United Kingdom
495932,C578342,23312,VINTAGE CHRISTMAS GIFT SACK,-1,11/24/2011 9:15,4.15,15993.0,United Kingdom
497258,C578355,22178,VICTORIAN GLASS HANGING T-LIGHT,-3,11/24/2011 10:13,1.95,14397.0,United Kingdom
497259,C578355,84946,ANTIQUE SILVER T-LIGHT GLASS,-2,11/24/2011 10:13,1.25,14397.0,United Kingdom
497260,C578355,22596,CHRISTMAS STAR WISH LIST CHALKBOARD,-4,11/24/2011 10:13,1.25,14397.0,United Kingdom
497261,C578355,20956,PORCELAIN T-LIGHT HOLDERS ASSORTED,-3,11/24/2011 10:13,1.25,14397.0,United Kingdom
497332,C578363,82494L,WOODEN FRAME ANTIQUE WHITE ,-48,11/24/2011 10:40,2.55,15482.0,United Kingdom
497333,C578363,23355,HOT WATER BOTTLE KEEP CALM,-24,11/24/2011 10:40,4.15,15482.0,United Kingdom
497334,C578363,22835,HOT WATER BOTTLE I AM SO POORLY,-24,11/24/2011 10:40,4.25,15482.0,United Kingdom
497335,C578363,22804,PINK HANGING HEART T-LIGHT HOLDER,-160,11/24/2011 10:40,2.55,15482.0,United Kingdom
497336,C578363,22423,REGENCY CAKESTAND 3 TIER,-12,11/24/2011 10:40,12.75,15482.0,United Kingdom
497337,C578363,22197,POPCORN HOLDER,-200,11/24/2011 10:40,0.72,15482.0,United Kingdom
497338,C578363,22114,HOT WATER BOTTLE TEA AND SYMPATHY,-24,11/24/2011 10:40,3.75,15482.0,United Kingdom
497339,C578363,22112,CHOCOLATE HOT WATER BOTTLE,-24,11/24/2011 10:40,4.25,15482.0,United Kingdom
497340,C578363,22071,SMALL WHITE RETROSPOT MUG IN BOX ,-36,11/24/2011 10:40,1.0,15482.0,United Kingdom
497341,C578363,22070,SMALL RED RETROSPOT MUG IN BOX ,-36,11/24/2011 10:40,3.39,15482.0,United Kingdom
497342,C578363,21843,RED RETROSPOT CAKE STAND,-72,11/24/2011 10:40,9.95,15482.0,United Kingdom
497343,C578363,21135,VICTORIAN  METAL POSTCARD SPRING,-288,11/24/2011 10:40,0.4,15482.0,United Kingdom
497387,C578367,23048,SET OF 10 LANTERNS FAIRY LIGHT STAR,-4,11/24/2011 11:00,4.15,14640.0,United Kingdom
497388,C578367,23221,REINDEER HEART DECORATION SILVER,-12,11/24/2011 11:00,0.83,14640.0,United Kingdom
497389,C578367,23433,HANGING QUILTED PATCHWORK APPLES,-24,11/24/2011 11:00,0.83,14640.0,United Kingdom
497390,C578367,22759,SET OF 3 NOTEBOOKS IN PARCEL,-12,11/24/2011 11:00,1.65,14640.0,United Kingdom
497391,C578368,22866,HAND WARMER SCOTTY DOG DESIGN,-96,11/24/2011 11:05,1.85,16191.0,United Kingdom
497443,C578371,22414,DOORMAT NEIGHBOURHOOD WITCH ,-1,11/24/2011 11:16,8.25,14410.0,United Kingdom
497444,C578371,48138,DOORMAT UNION FLAG,-1,11/24/2011 11:16,8.25,14410.0,United Kingdom
497445,C578371,22366,DOORMAT AIRMAIL ,-1,11/24/2011 11:16,8.25,14410.0,United Kingdom
497446,C578371,48173C,DOORMAT BLACK FLOCK ,-1,11/24/2011 11:16,8.25,14410.0,United Kingdom
497447,C578371,22526,WHEELBARROW FOR CHILDREN ,-1,11/24/2011 11:16,12.75,14410.0,United Kingdom
497448,C578371,22551,PLASTERS IN TIN SPACEBOY,-1,11/24/2011 11:16,1.65,14410.0,United Kingdom
497449,C578371,22964,3 PIECE SPACEBOY COOKIE CUTTER SET,-1,11/24/2011 11:16,2.1,14410.0,United Kingdom
497450,C578371,21125,SET 6 FOOTBALL CELEBRATION CANDLES,-1,11/24/2011 11:16,1.25,14410.0,United Kingdom
497451,C578371,22652,TRAVEL SEWING KIT,-1,11/24/2011 11:16,1.65,14410.0,United Kingdom
497452,C578371,22555,PLASTERS IN TIN STRONGMAN,-3,11/24/2011 11:16,1.65,14410.0,United Kingdom
497453,C578371,22554,PLASTERS IN TIN WOODLAND ANIMALS,-2,11/24/2011 11:16,1.65,14410.0,United Kingdom
497454,C578371,22434,BALLOON PUMP WITH 10 BALLOONS,-2,11/24/2011 11:16,1.95,14410.0,United Kingdom
497455,C578371,22974,CHILDRENS DOLLY GIRL MUG,-1,11/24/2011 11:16,1.65,14410.0,United Kingdom
497456,C578371,22972,CHILDREN'S SPACEBOY MUG,-1,11/24/2011 11:16,1.65,14410.0,United Kingdom
497457,C578371,21714,CITRONELLA CANDLE GARDEN POT,-5,11/24/2011 11:16,1.25,14410.0,United Kingdom
497458,C578371,22949,SET OF 36 DOLLY GIRL PAPER DOILIES,-2,11/24/2011 11:16,1.45,14410.0,United Kingdom
497459,C578371,84987,SET OF 36 TEATIME PAPER DOILIES,-1,11/24/2011 11:16,1.45,14410.0,United Kingdom
497460,C578371,21973,SET OF 36 MUSHROOM PAPER DOILIES,-1,11/24/2011 11:16,1.45,14410.0,United Kingdom
497461,C578371,21972,SET OF 36 DINOSAUR PAPER DOILIES,-1,11/24/2011 11:16,1.45,14410.0,United Kingdom
497462,C578371,20679,EDWARDIAN PARASOL RED,-2,11/24/2011 11:16,5.95,14410.0,United Kingdom
497463,C578371,15056P,EDWARDIAN PARASOL PINK,-2,11/24/2011 11:16,5.95,14410.0,United Kingdom
497464,C578371,21622,VINTAGE UNION JACK CUSHION COVER,-4,11/24/2011 11:16,4.95,14410.0,United Kingdom
497465,C578371,21624,VINTAGE UNION JACK DOORSTOP,-2,11/24/2011 11:16,5.95,14410.0,United Kingdom
497495,C578377,22922,FRIDGE MAGNETS US DINER ASSORTED,-120,11/24/2011 11:44,0.72,14277.0,France
497496,C578377,22923,FRIDGE MAGNETS LES ENFANTS ASSORTED,-120,11/24/2011 11:44,0.72,14277.0,France
497497,C578377,22924,FRIDGE MAGNETS LA VIE EN ROSE,-120,11/24/2011 11:44,0.72,14277.0,France
497569,578426,23131,,-12,11/24/2011 12:03,0.0,,United Kingdom
497632,578431,22579,,-18,11/24/2011 12:15,0.0,,United Kingdom
497633,C578432,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,-1,11/24/2011 12:20,2.55,12395.0,Belgium
497816,578473,72807B,damages,-101,11/24/2011 12:43,0.0,,United Kingdom
497817,578474,72807A,damages,-56,11/24/2011 12:44,0.0,,United Kingdom
497818,578475,72807C,damages,-149,11/24/2011 12:44,0.0,,United Kingdom
497819,578476,72807B,????missing,-124,11/24/2011 12:45,0.0,,United Kingdom
497820,578477,72807A,???missing,-224,11/24/2011 12:45,0.0,,United Kingdom
497821,578478,72807C,???missing,-428,11/24/2011 12:45,0.0,,United Kingdom
498580,578524,22810,check,-25,11/24/2011 14:20,0.0,,United Kingdom
498581,578525,22152,check,-179,11/24/2011 14:21,0.0,,United Kingdom
498595,578527,21819,check,-14,11/24/2011 14:24,0.0,,United Kingdom
498596,578528,22601,check,-20,11/24/2011 14:24,0.0,,United Kingdom
498597,578529,22087,,-23,11/24/2011 14:29,0.0,,United Kingdom
499420,C578669,23582,VINTAGE DOILY JUMBO BAG RED ,-1,11/24/2011 17:14,2.08,17323.0,United Kingdom
499421,C578669,22384,LUNCH BAG PINK POLKADOT,-3,11/24/2011 17:14,1.65,17323.0,United Kingdom
499428,C578673,22946,WOODEN ADVENT CALENDAR CREAM,-1,11/24/2011 18:05,16.95,16016.0,United Kingdom
500145,578733,21643,damaged,-9,11/25/2011 11:32,0.0,,United Kingdom
500161,578738,21638,,-33,11/25/2011 11:33,0.0,,United Kingdom
500162,C578743,POST,POSTAGE,-3,11/25/2011 11:35,18.0,12681.0,France
500536,C578784,POST,POSTAGE,-1,11/25/2011 12:01,7.6,13081.0,United Kingdom
500690,C578803,22191,IVORY DINER WALL CLOCK,-1,11/25/2011 12:55,8.5,16764.0,United Kingdom
500691,C578803,23494,VINTAGE DOILY DELUXE SEWING KIT ,-1,11/25/2011 12:55,5.95,16764.0,United Kingdom
501789,C578832,22378,WALL TIDY RETROSPOT ,-1,11/25/2011 15:18,2.1,13069.0,United Kingdom
501790,C578832,22867,HAND WARMER BIRD DESIGN,-1,11/25/2011 15:18,2.1,13069.0,United Kingdom
501791,C578832,22866,HAND WARMER SCOTTY DOG DESIGN,-1,11/25/2011 15:18,2.1,13069.0,United Kingdom
501792,C578832,22834,HAND WARMER BABUSHKA DESIGN,-32,11/25/2011 15:18,2.1,13069.0,United Kingdom
501793,C578832,22632,HAND WARMER RED RETROSPOT,-1,11/25/2011 15:18,2.1,13069.0,United Kingdom
501794,C578832,22379,RECYCLING BAG RETROSPOT ,-15,11/25/2011 15:18,2.1,13069.0,United Kingdom
501795,C578832,22380,TOY TIDY SPACEBOY  ,-17,11/25/2011 15:18,2.1,13069.0,United Kingdom
501796,C578832,22381,TOY TIDY PINK POLKADOT,-8,11/25/2011 15:18,2.1,13069.0,United Kingdom
501797,C578832,23285,PINK VINTAGE SPOT BEAKER,-2,11/25/2011 15:18,0.85,13069.0,United Kingdom
501798,C578832,23288,GREEN VINTAGE SPOT BEAKER,-8,11/25/2011 15:18,0.85,13069.0,United Kingdom
501799,C578832,23286,BLUE VINTAGE SPOT BEAKER,-8,11/25/2011 15:18,0.85,13069.0,United Kingdom
501800,C578832,22736,RIBBON REEL MAKING SNOWMEN ,-3,11/25/2011 15:18,1.65,13069.0,United Kingdom
501801,C578832,21673,WHITE SPOT BLUE CERAMIC DRAWER KNOB,-9,11/25/2011 15:18,1.45,13069.0,United Kingdom
501802,C578832,23298,SPOTTY BUNTING,-2,11/25/2011 15:18,4.95,13069.0,United Kingdom
501803,C578832,22614,PACK OF 12 SPACEBOY TISSUES,-2,11/25/2011 15:18,0.39,13069.0,United Kingdom
501804,C578832,21981,PACK OF 12 WOODLAND TISSUES ,-7,11/25/2011 15:18,0.39,13069.0,United Kingdom
501805,C578832,22469,HEART OF WICKER SMALL,-20,11/25/2011 15:18,1.65,13069.0,United Kingdom
501806,C578832,23321,SMALL WHITE HEART OF WICKER,-12,11/25/2011 15:18,1.65,13069.0,United Kingdom
501807,C578832,21972,SET OF 36 DINOSAUR PAPER DOILIES,-1,11/25/2011 15:18,1.45,13069.0,United Kingdom
501808,C578832,22416,SET OF 36 SPACEBOY PAPER DOILIES,-6,11/25/2011 15:18,1.45,13069.0,United Kingdom
501809,C578832,84987,SET OF 36 TEATIME PAPER DOILIES,-2,11/25/2011 15:18,1.45,13069.0,United Kingdom
501810,C578832,47566,PARTY BUNTING,-6,11/25/2011 15:18,4.95,13069.0,United Kingdom
501811,C578832,22694,WICKER STAR ,-1,11/25/2011 15:18,2.1,13069.0,United Kingdom
502118,578837,35833P,check,-24,11/25/2011 15:51,0.0,,United Kingdom
502119,578838,21591,check,-267,11/25/2011 15:52,0.0,,United Kingdom
502120,578839,22959,check,-175,11/25/2011 15:52,0.0,,United Kingdom
502121,578840,22142,check,-70,11/25/2011 15:54,0.0,,United Kingdom
503687,C578932,23393,HOME SWEET HOME CUSHION COVER ,-1,11/27/2011 12:44,3.75,15351.0,United Kingdom
503688,C578932,22776,SWEETHEART 3 TIER CAKE STAND ,-3,11/27/2011 12:44,9.95,15351.0,United Kingdom
504693,C578991,22997,TRAVEL CARD WALLET UNION JACK,-1,11/27/2011 15:31,0.42,15555.0,United Kingdom
504694,C578991,22999,TRAVEL CARD WALLET VINTAGE LEAF,-1,11/27/2011 15:31,0.42,15555.0,United Kingdom
504695,C578991,22996,TRAVEL CARD WALLET VINTAGE TICKET,-1,11/27/2011 15:31,0.42,15555.0,United Kingdom
504696,C578991,22563,HAPPY STENCIL CRAFT,-1,11/27/2011 15:31,1.25,15555.0,United Kingdom
504697,C578991,85204,HANGING WOOD AND FELT FLOWER,-1,11/27/2011 15:31,0.12,15555.0,United Kingdom
504698,C578991,35961,FOLKART ZINC HEART CHRISTMAS DEC,-1,11/27/2011 15:31,0.85,15555.0,United Kingdom
504699,C578991,20728,LUNCH BAG CARS BLUE,-1,11/27/2011 15:31,1.65,15555.0,United Kingdom
504700,C578991,20981,12 PENCILS TALL TUBE WOODLAND,-1,11/27/2011 15:31,0.85,15555.0,United Kingdom
505375,C579018,POST,POSTAGE,-1,11/28/2011 10:14,7.0,16678.0,United Kingdom
505541,C579090,84598,BOYS ALPHABET IRON ON PATCHES,-288,11/28/2011 10:48,0.21,12427.0,Germany
505593,C579092,POST,POSTAGE,-1,11/28/2011 10:50,4.41,16900.0,United Kingdom
505594,C579092,16054,POPART RECT PENCIL SHARPENER ASST,-108,11/28/2011 10:50,0.12,16900.0,United Kingdom
506158,C579127,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,-1,11/28/2011 12:22,2.95,12674.0,France
506374,C579140,22371,AIRLINE BAG VINTAGE TOKYO 78,-1,11/28/2011 13:05,4.25,16393.0,United Kingdom
506375,C579140,21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,-2,11/28/2011 13:05,2.08,16393.0,United Kingdom
506376,C579140,22993,SET OF 4 PANTRY JELLY MOULDS,-1,11/28/2011 13:05,1.25,16393.0,United Kingdom
506377,C579140,23289,DOLLY GIRL CHILDRENS BOWL,-1,11/28/2011 13:05,1.25,16393.0,United Kingdom
506378,C579140,23238,SET OF 4 KNICK KNACK TINS LONDON ,-2,11/28/2011 13:05,4.15,16393.0,United Kingdom
507248,C579169,22726,ALARM CLOCK BAKELIKE GREEN,-1,11/28/2011 14:26,3.75,17924.0,United Kingdom
507288,C579172,22427,ENAMEL FLOWER JUG CREAM,-12,11/28/2011 14:31,5.45,17811.0,United Kingdom
507365,C579178,22941,CHRISTMAS LIGHTS 10 REINDEER,-2,11/28/2011 14:55,8.5,12362.0,Belgium
507366,C579178,22942,CHRISTMAS LIGHTS 10 SANTAS ,-2,11/28/2011 14:55,8.5,12362.0,Belgium
507367,C579178,22943,CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,-3,11/28/2011 14:55,4.95,12362.0,Belgium
507406,C579186,23397,FOOT STOOL HOME SWEET HOME ,-2,11/28/2011 15:30,9.95,13238.0,United Kingdom
507999,C579192,POST,POSTAGE,-4,11/28/2011 15:43,18.0,12657.0,France
508000,C579192,23320,GIANT 50'S CHRISTMAS CRACKER,-12,11/28/2011 15:43,2.89,12657.0,France
508001,C579192,23318,BOX OF 6 MINI VINTAGE CRACKERS,-20,11/28/2011 15:43,2.49,12657.0,France
508002,C579192,22959,WRAP CHRISTMAS VILLAGE,-250,11/28/2011 15:43,0.42,12657.0,France
508003,C579192,22900,SET 2 TEA TOWELS I LOVE LONDON ,-6,11/28/2011 15:43,3.25,12657.0,France
508004,C579192,22818,CARD CHRISTMAS VILLAGE,-72,11/28/2011 15:43,0.42,12657.0,France
508005,C579192,22809,SET OF 6 T-LIGHTS SANTA,-12,11/28/2011 15:43,2.95,12657.0,France
508006,C579192,22423,REGENCY CAKESTAND 3 TIER,-10,11/28/2011 15:43,12.75,12657.0,France
508007,C579192,22357,KINGS CHOICE BISCUIT TIN,-4,11/28/2011 15:43,4.25,12657.0,France
508561,C579195,CRUK,CRUK Commission,-1,11/28/2011 15:54,987.14,14096.0,United Kingdom
508707,C579266,71477,COLOURED GLASS STAR T-LIGHT HOLDER,-24,11/29/2011 9:25,3.29,15621.0,United Kingdom
508840,C579277,22470,HEART OF WICKER LARGE,-10,11/29/2011 10:16,3.2,17450.0,United Kingdom
509532,C579347,23225,CHERUB HEART DECORATION SILVER ,-36,11/29/2011 11:47,0.83,17658.0,United Kingdom
509533,C579347,22163,HEART STRING MEMO HOLDER HANGING,-24,11/29/2011 11:47,0.79,17658.0,United Kingdom
509534,C579347,22584,PACK OF 6 PANETTONE GIFT BOXES,-14,11/29/2011 11:47,2.55,17658.0,United Kingdom
509535,C579347,22585,PACK OF 6 BIRDY GIFT TAGS,-20,11/29/2011 11:47,1.25,17658.0,United Kingdom
509585,C579366,POST,POSTAGE,-1,11/29/2011 11:56,9.72,14205.0,United Kingdom
510077,C579415,23169,CLASSIC GLASS COOKIE JAR,-4,11/29/2011 12:52,3.75,15311.0,United Kingdom
510117,579429,20711,lost in space,-98,11/29/2011 13:04,0.0,,United Kingdom
510163,C579431,23263,SET OF 3 WOODEN HEART DECORATIONS,-12,11/29/2011 13:09,1.25,17584.0,United Kingdom
510221,C579438,21533,RETROSPOT LARGE MILK JUG,-12,11/29/2011 13:26,4.25,14235.0,United Kingdom
510622,579460,21110,,-151,11/29/2011 14:39,0.0,,United Kingdom
511389,C579496,22666,RECIPE BOX PANTRY YELLOW DESIGN,-2,11/29/2011 15:38,2.95,18161.0,United Kingdom
511481,C579502,22946,WOODEN ADVENT CALENDAR CREAM,-1,11/29/2011 16:19,16.95,16759.0,United Kingdom
512879,C579519,23139,SINGLE WIRE HOOK PINK HEART,-12,11/29/2011 18:11,1.45,12748.0,United Kingdom
512927,C579521,22307,GOLD MUG BONE CHINA TREE OF LIFE,-6,11/29/2011 18:19,1.06,12748.0,United Kingdom
512928,C579521,21843,RED RETROSPOT CAKE STAND,-1,11/29/2011 18:19,10.95,12748.0,United Kingdom
512929,C579521,22840,ROUND CAKE TIN VINTAGE RED,-1,11/29/2011 18:19,7.95,12748.0,United Kingdom
513076,C579532,POST,POSTAGE,-1,11/30/2011 9:21,18.0,12494.0,France
513077,C579532,22890,NOVELTY BISCUITS CAKE STAND 3 TIER,-4,11/30/2011 9:21,9.95,12494.0,France
513339,C579547,23245,SET OF 3 REGENCY CAKE TINS,-1,11/30/2011 10:42,4.95,16764.0,United Kingdom
513448,C579554,21428,SET3 BOOK BOX GREEN GINGHAM FLOWER ,-1,11/30/2011 11:05,4.25,13924.0,United Kingdom
513449,C579554,22588,CARD HOLDER GINGHAM HEART,-2,11/30/2011 11:05,2.89,13924.0,United Kingdom
513788,C579562,23084,RABBIT NIGHT LIGHT,-1,11/30/2011 11:39,2.08,12553.0,France
513789,C579562,21731,RED TOADSTOOL LED NIGHT LIGHT,-1,11/30/2011 11:39,1.65,12553.0,France
514181,579681,21615,check,-26,11/30/2011 13:33,0.0,,United Kingdom
514182,579682,85172,check,-145,11/30/2011 13:33,0.0,,United Kingdom
514183,579683,21868,check,-28,11/30/2011 13:35,0.0,,United Kingdom
514205,579688,21116,,-33,11/30/2011 13:51,0.0,,United Kingdom
514287,579691,47503A,,-5,11/30/2011 14:05,0.0,,United Kingdom
514563,C579710,22591,CARDHOLDER GINGHAM CHRISTMAS TREE,-4,11/30/2011 14:16,3.25,15467.0,United Kingdom
514646,579731,35648,check,-46,11/30/2011 14:23,0.0,,United Kingdom
514647,579732,35648,check,-10,11/30/2011 14:24,0.0,,United Kingdom
514648,579733,84581,check,-41,11/30/2011 14:24,0.0,,United Kingdom
514649,579734,84859C,wet?,-153,11/30/2011 14:25,0.0,,United Kingdom
514650,579735,21793,check,-40,11/30/2011 14:25,0.0,,United Kingdom
514652,C579739,22567,20 DOLLY PEGS RETROSPOT,-1,11/30/2011 14:28,1.45,16956.0,United Kingdom
514653,C579739,22762,CUPBOARD 3 DRAWER MA CAMPAGNE,-1,11/30/2011 14:28,14.95,16956.0,United Kingdom
514735,579742,85204,lost??,-1131,11/30/2011 14:34,0.0,,United Kingdom
514736,579743,21810,check,-135,11/30/2011 14:36,0.0,,United Kingdom
514788,579745,22043,check,-40,11/30/2011 14:39,0.0,,United Kingdom
514801,C579746,35004B,SET OF 3 BLACK FLYING DUCKS,-3,11/30/2011 14:40,4.65,13078.0,United Kingdom
514836,C579748,23229,VINTAGE DONKEY TAIL GAME ,-1,11/30/2011 14:41,3.75,14875.0,United Kingdom
514939,C579752,72802C,VANILLA SCENT CANDLE JEWELLED BOX,-1,11/30/2011 14:46,3.81,13777.0,United Kingdom
